pair_id,mu_A,sigma_A,R_A,mu_B,sigma_B,R_B,d_mu,d_sigma,d_R,menu_type,subtype,pair_distance,pair_distance_metric,coordinate_distance,triad_id,triad_pair,menu_source,experiment_id,path_id,t_value,interp_mu,interp_sigma,reference_mu,reference_sigma,interp_is_menu_A,target_model,u_A,u_B,delta_u,completeness,prob_A,prob_B,label_a,label_b,cue_suffix,delta_z,position_bias,position_corrected_pair_complete
0,10.0,30,1000.0,2.0,10,104.0,8.0,20,896.0,estimation,indifference,21.540659228538015,mu_sigma,21.540659228538015,,,indifference_curve_menus.json,indifference_curve,,,,,,,,/home/jfoster@ivey.ca/ai-preferences/code/experiments/finetune_runs/llama31_8b_beta00045_kappa02/merged,21.37684440612793,20.500913619995117,0.8759307861328125,0.9972491646724422,0.7040362409290716,0.2932129237433706,A,B,Your choice is Option ,0.7499780654907227,0.12595272064208984,True
0,2.0,10,104.0,10.0,30,1000.0,-8.0,-20,-896.0,mirror,indifference,21.540659228538015,mu_sigma,21.540659228538015,,,indifference_curve_menus.json,indifference_curve,,,,,,,,/home/jfoster@ivey.ca/ai-preferences/code/experiments/finetune_runs/llama31_8b_beta00045_kappa02/merged,20.877037048339844,21.501062393188477,-0.6240253448486328,0.9974889585680806,0.34799048582659137,0.6494984727414892,A,B,Your choice is Option ,-0.7499780654907227,0.12595272064208984,True
1,10.0,30,1000.0,2.0,11,125.0,8.0,19,875.0,estimation,indifference,20.615528128088304,mu_sigma,20.615528128088304,,,indifference_curve_menus.json,indifference_curve,,,,,,,,/home/jfoster@ivey.ca/ai-preferences/code/experiments/finetune_runs/llama31_8b_beta00045_kappa02/merged,21.25212287902832,20.375972747802734,0.8761501312255859,0.9969224183238787,0.7038509530418358,0.293071465282043,A,B,Your choice is Option ,0.7501411437988281,0.1260089874267578,True
1,2.0,11,125.0,10.0,30,1000.0,-8.0,-19,-875.0,mirror,indifference,20.615528128088304,mu_sigma,20.615528128088304,,,indifference_curve_menus.json,indifference_curve,,,,,,,,/home/jfoster@ivey.ca/ai-preferences/code/experiments/finetune_runs/llama31_8b_beta00045_kappa02/merged,20.876949310302734,21.501081466674805,-0.6241321563720703,0.9974670111817374,0.3479586278044442,0.6495083833772932,A,B,Your choice is Option ,-0.7501411437988281,0.1260089874267578,True
2,10.0,30,1000.0,2.0,12,148.0,8.0,18,852.0,estimation,indifference,19.697715603592208,mu_sigma,19.697715603592208,,,indifference_curve_menus.json,indifference_curve,,,,,,,,/home/jfoster@ivey.ca/ai-preferences/code/experiments/finetune_runs/llama31_8b_beta00045_kappa02/merged,21.37694549560547,20.50090980529785,0.8760356903076172,0.9973097092773198,0.7041007003226997,0.2932090089546201,A,B,Your choice is Option ,0.7501363754272461,0.1258993148803711,True
2,2.0,12,148.0,10.0,30,1000.0,-8.0,-18,-852.0,mirror,indifference,19.697715603592208,mu_sigma,19.697715603592208,,,indifference_curve_menus.json,indifference_curve,,,,,,,,/home/jfoster@ivey.ca/ai-preferences/code/experiments/finetune_runs/llama31_8b_beta00045_kappa02/merged,20.87684440612793,21.501081466674805,-0.624237060546875,0.99751802721795,0.3479526547499943,0.6495653724679556,A,B,Your choice is Option ,-0.7501363754272461,0.1258993148803711,True
3,10.0,30,1000.0,2.0,13,173.0,8.0,17,827.0,estimation,indifference,18.788294228055936,mu_sigma,18.788294228055936,,,indifference_curve_menus.json,indifference_curve,,,,,,,,/home/jfoster@ivey.ca/ai-preferences/code/experiments/finetune_runs/llama31_8b_beta00045_kappa02/merged,21.376943588256836,20.500877380371094,0.8760662078857422,0.9973121746517861,0.7041087581618556,0.2932034164899306,A,B,Your choice is Option ,0.7501211166381836,0.1259450912475586,True
3,2.0,13,173.0,10.0,30,1000.0,-8.0,-17,-827.0,mirror,indifference,18.788294228055936,mu_sigma,18.788294228055936,,,indifference_curve_menus.json,indifference_curve,,,,,,,,/home/jfoster@ivey.ca/ai-preferences/code/experiments/finetune_runs/llama31_8b_beta00045_kappa02/merged,20.876842498779297,21.501018524169922,-0.624176025390625,0.997476479566618,0.3479519910836069,0.6495244884830111,A,B,Your choice is Option ,-0.7501211166381836,0.1259450912475586,True
4,10.0,30,1000.0,2.0,14,200.0,8.0,16,800.0,estimation,indifference,17.88854381999832,mu_sigma,17.88854381999832,,,indifference_curve_menus.json,indifference_curve,,,,,,,,/home/jfoster@ivey.ca/ai-preferences/code/experiments/finetune_runs/llama31_8b_beta00045_kappa02/merged,21.37689208984375,20.500883102416992,0.8760089874267578,0.9972756906757312,0.7040711557013961,0.2932045349743351,A,B,Your choice is Option ,0.7501306533813477,0.12587833404541016,True
4,2.0,14,200.0,10.0,30,1000.0,-8.0,-16,-800.0,mirror,indifference,17.88854381999832,mu_sigma,17.88854381999832,,,indifference_curve_menus.json,indifference_curve,,,,,,,,/home/jfoster@ivey.ca/ai-preferences/code/experiments/finetune_runs/llama31_8b_beta00045_kappa02/merged,20.876829147338867,21.501081466674805,-0.6242523193359375,0.9974765690914521,0.347934736201838,0.6495418328896141,A,B,Your choice is Option ,-0.7501306533813477,0.12587833404541016,True
